station,name,num_readings,avg_temp_f,max_temp_f,min_temp_f,total_prcp_in
16757099999,"SITIA, GR",8,80.6,85.0,77.8,0.0
16564099999,"CAPE CARBONARA, IT",55,79.53,84.2,74.7,19.54
11278099999,"POERTSCHACH, AU",1,78.2,78.2,78.2,0.0
08589099999,"PRAIA, CV",102,76.83,82.4,70.5,0.0
08583099999,"MINDELO, CV",104,76.53,82.7,71.1,0.0
08594499999,"BOA VISTA RABIL, CV",236,75.64,84.2,68.7,0.0
08594599999,"SAO PEDRO, CV",236,74.84,82.5,69.0,0.0
16675099999,"LAMIA, GR",96,74.83,90.1,37.4,1.24
11234099999,"BAD EISENKAPPEL, AU",1,74.7,74.7,74.7,0.0
14446099999,"BRAC, HR",89,74.23,90.6,38.7,0.0
14253199999,"LOSINJ ISLAND, HR",68,73.37,90.7,51.8,0.0
08594099999,"AMILCAR CABRAL INTERNATIONAL, CV",236,73.31,83.7,67.6,0.41
11090099999,"WEIN DONAUFELD, AU",2,72.75,79.4,66.1,0.0
16464099999,"SIRACUSA, IT",165,72.46,87.6,53.7,1.38
11144099999,"ZELL AM SEE AUT, AU",1,71.0,71.0,71.0,0.0
08429099999,"ALCANTARILLA, SP",236,70.89,94.4,45.7,10.53
11263099999,"WEISSENSEE GATSCHACH, AU",1,70.8,70.8,70.8,0.0
16324099999,"TARANTO GROTTAGLIE, IT",236,70.61,99.6,44.6,0.0
16542099999,"CAPE S. LORENZO, IT",149,70.45,92.1,48.6,2.41
16266099999,"VIESTE, IT",6,69.85,86.6,54.3,0.0
16719099999,"ZAKINTHOS, GR",234,69.47,96.9,48.0,16.26
16235099999,"URBE, IT",236,69.41,96.1,43.5,0.0
16765099999,"KARPATHOS AIRPORT, GR",205,69.32,88.1,45.8,4.52
08430099999,"MURCIA, SP",236,69.25,92.8,45.6,9.78
16719399999,"DIONISIOS SOLOMOS, GR",236,69.22,94.2,47.3,0.0
16685099999,"KEFALLINIA, GR",236,69.13,93.2,49.8,21.79
16665399999,"ALEXANDROS PAPADIAMANTIS, GR",198,69.13,90.2,41.3,5.12
08487099999,"ALMERIA, SP",236,69.05,91.0,50.7,3.35
08537099999,"ALVERCA, PO",153,68.95,95.9,49.1,12.5
07503099999,"BISCAROSSE PARENTIS, FR",141,68.94,91.1,32.2,2.01
16480099999,"COZZO SPADARO, IT",214,68.79,86.6,53.6,0.0
16754399999,"KARPATHOS, GR",232,68.59,87.8,45.4,0.0
16490099999,"LAMPEDUSA, IT",236,68.58,86.4,55.4,12.63
16350099999,"CROTONE, IT",236,68.52,94.4,44.9,0.0
16716099999,"ATHINAI, GR",235,68.51,97.3,40.5,3.43
08359099999,"ALICANTE, SP",229,68.23,89.5,44.3,6.16
16243099999,"LATINA, IT",168,68.22,91.8,44.2,0.0
16749099999,"DIAGORAS, GR",236,68.19,91.5,44.9,8.7
16599099999,"GUDJA, MT",236,68.18,90.0,53.0,14.42
16744399999,"SANTORINI, GR",236,68.17,91.2,43.9,0.0
16723099999,"SAMOS, GR",236,68.15,95.8,39.7,0.0
16597099999,"LUQA, MT",236,68.14,89.9,53.3,11.42
08360099999,"ALICANTE, SP",236,68.11,88.3,44.2,5.3
08391099999,"SEVILLA, SP",236,68.08,96.1,42.9,24.44
16422099999,"REGGIO CALABRIA, IT",236,68.03,89.0,51.6,11.73
16734199999,"CYCLADES ISLANDS, GR",234,68.03,87.4,42.2,0.0
16718099999,"ELEFSIS, GR",236,68.02,97.4,40.7,6.83
16667099999,"MITILINI, GR",236,68.01,92.1,39.4,7.77
16743099999,"KITHIRA ALEXANDROS ARISTOTELOUS ONASSIS, GR",227,67.89,94.6,42.0,0.45
14025099999,"MARIBOR TABOR, SI",99,67.81,81.1,50.5,0.0
16260099999,"GINA LISA, IT",236,67.77,93.6,42.2,0.0
16420099999,"MESSINA, IT",233,67.72,90.0,52.7,0.0
16148099999,"CERVIA, IT",149,67.7,84.3,34.7,12.13
16234099999,"GUIDONIA, IT",166,67.66,91.8,41.3,11.7
08522099999,"FUNCHAL, PO",236,67.63,76.6,59.4,14.74
16706099999,"CHIOS, GR",236,67.61,93.8,40.5,16.61
16754099999,"NIKOS KAZANTZAKIS, GR",236,67.6,88.6,44.8,5.64
08433099999,"MURCIA SAN JAVIER, SP",236,67.59,89.5,46.7,6.87
14648099999,"MOSTAR, BK",236,67.45,95.9,39.5,27.05
16416099999,"ISOLA STROMBOLI, IT",207,67.27,92.4,51.4,0.0
08390599999,"SEVILLA HELIPORT, SP",162,67.25,96.9,44.8,0.0
16405099999,"PALERMO, IT",236,67.21,87.8,51.6,8.27
16539099999,"CAPE FRASCA, IT",225,67.2,87.4,48.8,5.38
08495099999,"GIBRALTAR, GI",236,67.17,84.1,54.0,20.01
16459099999,"CATANIA SIGONELLA, IT",236,67.16,89.8,47.5,9.93
16641099999,"IOANNIS KAPODISTRIAS INTERNATIONAL, GR",236,67.14,91.0,46.0,16.77
13463099999,"PODGORICA GRAD, MJ",236,67.11,97.6,40.8,27.58
08521099999,"FUNCHAL S.CATARINA, PO",236,67.09,76.7,58.1,16.83
14454099999,"MAKARSKA, HR",236,67.03,93.5,43.3,16.14
